会社名,勤務地,給与
コンピューターサイエンス株式会社 | 創業36年目／社員の声に耳を傾けます／充実した教育×正当な評価,【転居を伴う転勤なし】首都圏・大阪・福岡・宮城・北海道の各プロジェクト先 ※勤務地は希望を考慮しま…,■首都圏
豊ハイテック株式会社 | 【トヨタグループ／ジェイテクト100％出資】,【 U・Iターン歓迎／希望勤務地を考慮 】 ■東京都、愛知県（刈谷・名古屋）、大阪府 ■各プロジェ…,【 月給30万円〜70万円 ＋ 各種手当 ＋ 賞与（平均4.5ヶ月分：2019年度実績） 】
株式会社ココロザシ | 年収例：600万円(入社1年・27歳)／700万円(入社1年・30歳),《転居を伴う転勤なし》 ◆東京都内にあるプロジェクト先での勤務です ※感染症対策のため、リモートワ…,◆月給：30万円〜75万円
株式会社アイティープロデュース | 転勤なし◎残業は月平均7時間◎有休取得…平均10日間◎服装自由,※出雲支社もしくは東京本社、広島支店の勤務先となります。 ※転勤はありません。 ※希望勤務地は考慮…,【東京本社】
株式会社ベリサーブ | ★SCSKグループ★平均有給取得11.3日／年★平均残業24.2時間／月,本社（千代田区）・西日本支社（大阪市）、または顧客先 本社：東京都千代田区神田三崎町3-1-16…,"月給23万5,450円〜58万9,000円"
株式会社プラウドフロー | 【モバイルに注力の第二創業期、始動】年休125日/残業月平均14h,渋谷本社／目黒支社／首都圏（東京都・神奈川県・千葉県・埼玉県）のプロジェクト先 ※勤務地はご希望を…,■経験者:
株式会社エルバークギア | 年休125日～／土日祝休／残業少／テレワーク可能／面接1回,《転居をともなう転勤なし／UIターンも歓迎♪》 ■中目黒本社 東京都目黒区中目黒4-8-5 藤井ビ…,月給18万円〜
株式会社ランテック | 【大阪府緊急雇用対策に賛同】東証一部上場「センコーグループ」,【転勤なし】 ★全国各拠点にて募集中 ★希望の勤務地に配属します ★面接もご希望の拠点で実施します…,"月給151,000円〜334,800円 ＋ その他手当（ 残業等 ）"
ヤマコー株式会社  | ＊和雑貨や天然素材生活用品の企画・製造・販売を手掛ける会社,《 転勤なし＊JR坂下駅から徒歩15分 》 岐阜県中津川市坂下275-1 ※車通勤も可能です（無料…,"月給16万2,200円〜＋各種手当"
システム・エボリューション株式会社 | 働きやすさ抜群！平均有給取得実績10日！男女の産/育休実績あり,【転居を伴う転勤なし】東京・大阪・名古屋・札幌の拠点または各都道府県のお客様先での業務となります。…,月給：25万円以上＋各種手当＋賞与年2回＋決算賞与
医療法人相生会 | 残業少なめ&完全週休2日制の病院も！メリハリのある働き方が可能,福岡もしくは熊本県内にある 以下いずれかの勤務地に配属します。 ★勤務地はお住まい等を考慮し決定し…,"月給199,100円〜258,500円 + 時間外勤務手当"
株式会社アイビス | 《 転勤なし 》お絵かきアプリ「ibisPaint」が1億3000万DL突破！,《 名古屋本社・近郊の開発先での勤務 》 ＼各線「名古屋」駅より、徒歩2分／ 名古屋市中村区名駅3…,★月給25万〜50万円+各種手当+賞与2回
株式会社カーネルジャパン | ★土日祝休み★年休125日以上★残業月20h以下★20代活躍中,【転勤なし】 本社および東京・神奈川・埼玉・千葉などのプロジェクト先(勤務地は希望を考慮) ★本社…,【月給】18万〜80万円＋各種インセンティブ
株式会社KSEシステムクリエイト  | 年休128日*土日祝休み*残業少*WEB面接＆テレワークも実施中！,【転勤なし／U・Iターン歓迎】 本社／東京都港区海岸2-1-24 NAC港ビル7F ☆本社またはプ…,月給21万円以上＋諸手当
株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原）などの各クライアント先 【配属…,月給22〜30万円
ピセ株式会社 | 在宅勤務制度あり／幅広い事業領域の安定企業／働きやすさも追求,★転勤なし！ ★東京・札幌・仙台・名古屋・大阪の各拠点またはクライアント先での勤務になります。 ＜…,◆年俸350万円〜850万円
三井不動産レジデンシャル株式会社 | 三井不動産株式会社（東証一部上場）グループ,本社および全国の支店・営業所、 その他国内外の事務所にて募集。 本社 (東京・日本橋) 支店 (札…,"月給245,000円以上"
株式会社エージェントゲート | 定着率94%★Web面談実施中★年収120万UPでスタートの経験者も！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜
グローバルトレード株式会社 | 【国内最大級のオークション運営】即日・翌日など早期面接も可能,【転居を伴う転勤なし】 ★入社後は品川または新宿の店舗で研修を実施 ★オークション課は新横浜での勤…,【月給20万円以上】＋諸手当＋賞与2回
株式会社テクトン | WEB面接可／年間休日125日／土日祝休み／残業少なめ,＜転居を伴う転勤はありません＞ ■本社／東京都新宿区新宿6-29-8 新宿福智ビル5F・6F ■関…,■月給30万円〜70万円
アデコ株式会社 | Modis事業本部 ――◇WEB面接実施中(平日夜・土曜面接もOK),★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回）
株式会社c.paradiso | 【残業は月平均0～20時間／年間休日126日／産休・育休あり】,本社（日本橋）もしくは東京23区内クライアント先 ※ご本人の希望等を考慮して決定いたします。 《本…,月給23万円以上
アルユーアイ株式会社 | ★給与UP保証★完全週休2日(土日)★年休126日★残業10時間以内,《★首都圏（神奈川、千葉、埼玉）のプロジェクトで積極採用！》 《★希望勤務地を考慮》 《★U・Iタ…,【インフラエンジニア経験者】
株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率96.4％,住宅手当充実＆独身寮もあります！ ◆自社開発センター（神奈川）もしくは東京・神奈川のプロジェクト先…,"◆月給(最低保証給)／21万9,000円以上"
株式会社シブタニ | 【土日祝休み／残業は基本5h以内！】大阪府緊急雇用対策に賛同,【「長堀橋」駅から徒歩5分】 ※転勤なし ※U・Iターン歓迎 ◆大阪府大阪市中央区島之内2-13-7,月給25万円 〜 45万円 + 諸手当 + 賞与(年2回)
ネット株式会社 | 大阪府緊急雇用対策に賛同！☆年休120日／テレワーク可／賞与2回,本社／大阪府大阪市中央区島之内一丁目 ＜交通アクセス＞ 堺筋線「長堀橋駅」より徒歩3分,月給：25万円以上
株式会社ユビキタス | 【お客様の9割はNTTグループの大手IT企業、官公庁等と安定！】,●転勤なし ●『新富町駅』『築地駅』『八丁堀駅』から徒歩スグ！ 【本社】 東京都中央区湊3-6-1…,●月給26万円〜 + 各種手当 + 賞与年2回
株式会社鯉平 | 《年間休日120日/WEB面接OK》明治30年創業・川魚の卸問屋,《本社＆転勤なし》 埼玉県さいたま市見沼区卸町1-23 ※マイカー通勤OK,月給27万円〜35万円
"東レ株式会社 | 世界26ヶ国・地域に拠点展開◆連結売上高23,000億円超",東京、滋賀、大阪のいずれかに配属となります。 ※配属部門によって勤務地が異なります。 ＜東京本社＞…,"【月給】22万2,600円以上"
日本医療サービス株式会社 | #医療法人社団高邦会のグループ#転勤なし#地域密着で働ける,【福岡市・大川市の福岡県内3拠点の医療施設での同時募集】 ※高木病院のみマイカー通勤可 ◆福岡中央…,"月給200,000円〜400,000円"
株式会社グローブスタッフ | 【大手メーカー、通信と直取引！】土日祝休★年間休日126日以上,【転勤なし】 五反田本社または首都圏(東京/埼玉/千葉/神奈川)の プロジェクト先で活躍！ ★本社…,"月給225,000円〜500,000円 ＋ 各種手当"
株式会社エルアイシー  | 【地域貢献をビジョンに掲げる総合不動産会社】★テレワーク可,大阪府大阪市西区江戸堀1丁目2-11 ★仕事に慣れてきたら、テレワークもOKです！,"年俸制：5,000,000円〜8,000,000円"
株式会社マキバレ | 創業5年目のフレッシュな企業／残業も月平均14.5時間と少なめ,【本社または都内、神奈川県、埼玉県、千葉県の各プロジェクト先】 ※転居をともなう転勤はありません。…,【大卒以上】
株式会社京進 | 東証二部上場,全国の各教室へ配属 ※配属教室については個別相談時にご相談ください。 ・・・独立後・・・ 全国で1…,月給20万円以上
