会社名,勤務地,給与
株式会社ルーティス | 大手メーカーや大手Sierとの取引中心　★年休120日以上/残業少,＜転勤なし！＞ 福岡市の各プロジェクト先での勤務（希望考慮）※常駐の可能性あり,"月給　220,000円〜359,000円"
株式会社フルマークス | 顧客から「満点」をいただけるシステム構築を目指す少数精鋭SIer,本社 東京都千代田区神田神保町1-14-3 MT-O神保町 【駅より徒歩2分】,月給
株式会社coinbook | ★残業ほぼなし★完全週休2日★年間休日120日以上★連休取得OK,【転勤なし】 ★「赤坂」「六本木一丁目」「溜池山王」の3駅4路線からアクセス◎ ★UIターン歓迎…,年俸制 500万円〜600万円(月41.67万円〜50万円)
関西総合システム株式会社 | 前給考慮／上流工程／完全自社内開発／テレワーク可／年休124日,各線なんば駅から直結◆雨に濡れずに通勤◆転勤なし◆大阪市浪速区湊町1丁目2番3号　マルイト難波ビル…,月給28万円〜＋諸手当＋賞与
株式会社ラクス | 【東証一部上場】CMでおなじみ！自社クラウドサービスを提供,【新宿・新宿三丁目・代々木の3駅を利用可能】 ★11路線からアクセス抜群 ★平均年齢31歳 東京第…,【月給31万2188円〜】＋賞与年2回
アイピーシステム株式会社 | 富士通／ベネッセ／NTTデータグループ各社など大手企業と取引◎,＼ U・Iターン歓迎 ／ ◎岡山市・高松市・大阪市のいずれか（希望考慮） 本社 岡山県岡山市北区北…,"月給 217,000円以上＋諸手当"
リバーコンティニュー株式会社 | 大阪府緊急雇用対策に賛同／年間休日休暇126日で働きやすさ抜群,《梅田エリア勤務★転勤なし》 ■大阪府大阪市北区太融寺町2-21 ニュープラザビル11F ⇒社内受…,■月給25万円〜50万円
マルコメ株式会社 | 【マルコメ君でおなじみ！】日本を代表する発酵食品メーカー！,【本社】 長野県長野市安茂里883 各線「長野駅」より徒歩約10分 ※転勤はありません。 ※マイカ…,月給20.5万円〜
アントラス株式会社 | 企業システムの運用管理に強み！年休120日など働きやすさ◎,【本社】 東京都渋谷区道玄坂1-16-7 ハイウェービル8F 【クライアント先】 東京都千代田区…,月給：22万円〜35万円
"弥生株式会社 | 販売数21年連続No.1の会計ソフト""弥生会計""など",【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,"年俸：5,500,000円〜9,000,000円"
"弥生株式会社 | 販売数21年連続No.1の会計ソフト""弥生会計""など",【札幌市／大阪市のご希望どちらか】 【札幌市】 札幌市中央区北3条西4-1-1日本生命札幌ビル21…,【札幌市】
