会社名,勤務地,給与
合同会社KAMING | ※5月1日より「株式会社KAMING」に社名変更,★転勤なし ★U／Iターン歓迎 ★勤務地は希望を考慮して決定 【東京・埼玉・神奈川・千葉】の各プロ…,月給35万円以上【前給保証／実際、ほぼ全員が当社で収入UP！】
株式会社クレディセゾン | 【東証一部上場】フルフレックス勤務/残業基本なし/賞与年7ヶ月,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜"
株式会社クレディセゾン | 【東証一部上場】テレワーク有/フルフレックス勤務/賞与年7ヶ月,＜本社・テクノロジーセンター＞ 東京都豊島区東池袋3-1-1 サンシャイン60内 ※以下にて勤務の…,"月給33万5,000円〜"
KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,★代々木にある本社オフィスでの勤務です ★「新宿」「都庁前」の2駅11路線からアクセス◎ ★テレワ…,【月給24万1000円〜33万3000円】
株式会社ティーネットジャパン | ★40期以上黒字の安定性/大手ベンダー・エンドユーザ企業直取引,《転居を伴う転勤なし／U・Iターン歓迎》 ★現在、テレワーク勤務も推奨しています！ ★本社・各事業…,【経験者】
株式会社アイエム | <AIや海外案件あり>★面接1回★SESからの転職者が多数活躍中,■希望を考慮し、本社またはクライアント先（首都圏）にて勤務 ★在宅ワークも導入しています ※本社／…,■月給30万円〜45万円＋残業代＋各種手当
株式会社アンスール  | Java開発案件をはじめ、最新言語での開発やゲーム開発案件も！,《東京 または 大阪 のいずれかのオフィス》 ※希望を考慮して配属します 〈東京本社〉 ■東京都中…,〈前給保証〉
NTTデータカスタマサービス株式会社 | NTTデータグループの一員として官公庁・金融系・大企業と取引！,★全国各拠点 ★希望を考慮して決定！ ◇本社 ◎東京都江東区枝川1-9-4　住友不動産豊洲TKビル…,月給20万円〜45万円
ゼネリックソリューション株式会社 | 【100％自社内開発】■月給30万円～,【渋谷駅近くのオフィスです◎】 開発拠点／東京都渋谷区渋谷3-28-15　渋谷S.野口Bldg.6…,月給30万円〜70万円
株式会社アークシステム | 【プライム案件多数／大手企業と直接取引】★残業月20時間未満,【転勤なし／U・Iターン歓迎】 ★希望を考慮して勤務地を決定！ 東京都内中心に、関東近郊（埼玉県・…,年俸300万円〜850万円
株式会社日立ソリューションズ・クリエイト | ［日立グループの中枢を担うSIer］★年間休日125日 ★残業月20h,★転勤なし ★品川シーサイド駅直結1分 東京都品川区東品川4丁目12番6号 品川シーサイドキャナル…,"月給225,000円以上 ＋ 賞与年2回"
株式会社日立ソリューションズ・クリエイト | ［日立グループの中枢を担うSIer］★年間休日125日 ★残業月20h,★転勤なし ★品川シーサイド駅直結1分 東京都品川区東品川4丁目12番6号 品川シーサイドキャナル…,"月給225,000円以上 ＋ 賞与年2回"
テクノスクエア株式会社 | NTT・ドコモグループなどとの直接取引。高収益の開発会社です。,※転居を伴う転勤なし・UIターンも歓迎！ 本社／神奈川県川崎市川崎区南町1-1　日本生命川崎ビル1…,"月給23万9,000円〜35万円＋残業手当（全額）＋その他諸手当＋賞与年3回"
株式会社レグルカセ | WEB面接OK／年間休日125日／転勤なし／残業少なめ／社員満足度◎,★転居を伴う転勤はありません！U・Iターンも歓迎！ 【首都圏】東京・神奈川・埼玉・千葉などのプロジ…,【経験者】
SCSKサービスウェア株式会社 | #東証一部SCSK(株)のグループ # 有給休暇消化率86.2％,【U・Iターン歓迎】 ◆大阪センターおよび、大阪・兵庫・京都の大手優良企業先 【大阪センター】 《…,◆月給25万5000円以上+各種手当+賞与年2回
株式会社野村総合研究所 | （NRI） 東証一部上場★海外研修など豊富な研修制度あり,【転勤なし／U・Iターン歓迎】札幌ソリューション開発部に配属します。 《札幌ソリューション開発部》…,"修士了／月給241,500円（2018年4月実績）"
アデコ株式会社 | Modis事業本部 ――◇WEB面接実施中(平日夜・土曜面接もOK),★転勤なし ★首都圏または関西・東海エリア限定採用 各エリア内の大手・優良企業での勤務となります。…,月給23万9000円〜83万9000円 ＋ 残業代1分単位支給 ＋ 賞与（年2回）
株式会社野村総合研究所 | （NRI）東証一部上場★海外研修など豊富な研修制度あり,【転勤なし／U・Iターン歓迎】福岡ソリューション開発部に配属します。 《福岡ソリューション開発部》…,"修士了／月給241,500円（2018年4月実績）"
デロイト トーマツ コンサルティング合同会社,東京、大阪 ※ただしプロジェクトにより他日本国内、北米、欧州、アジア各国での勤務の可能性あり ■東…,●年俸制620万円以上
