会社名,勤務地,給与
株式会社アルファシステムズ | 【東証一部上場／49年間黒字経営を継続中】★社員定着率96.4％,住宅手当充実＆独身寮もあります！ ◆自社開発センター（神奈川）もしくは東京・神奈川のプロジェクト先…,"◆月給(最低保証給)／21万9,000円以上"
株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜
株式会社WiZ | ★年休120日以上 ★定着率90％以上 ★面接1回 ★20代活躍中,※転居を伴う転勤なし！ ★最寄り駅は「六本木」or「六本木一丁目」！★ 本社 東京都港区六本木3-…,月給23万〜40万円
サンライズシステム株式会社 | 〈創立38年の信頼〉年休125日◆残業月10h◆入社時年収80万UP例有,【転勤なし】 自社内(テレワーク可)or東京(渋谷区/港区/品川区等を中心とした23区内)/神奈川…,月給35万円以上 + 諸手当 + 賞与
株式会社リクルートスタッフィング情報サービス | 未経験からITデビュー★プライベートを大切に長く働けます！,東京エリア(東京、神奈川、千葉、埼玉)または大阪エリア(大阪、京都、兵庫、奈良)での勤務 【東京エ…,■首都圏：月給18.6万円以上＋各種手当
株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★在宅勤務OK★年間休日126日,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給40万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当を別途支給
株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％/69％が毎年昇給,【リモート案件多数】 ★月~20万/年~240万のインセンティブ賞与 ★UIターン歓迎(上京時に寮…,<東京/埼玉/神奈川/千葉>
株式会社リクルートスタッフィング情報サービス | 未経験からITデビュー★プライベートを大切に長く働けます！,東京エリア(東京、神奈川、千葉、埼玉)または大阪エリア(大阪、京都、兵庫、奈良)での勤務 【東京エ…,■首都圏：月給18.6万円以上＋各種手当
株式会社アイエスエフネット | 【大阪府緊急雇用対策に賛同】★インセンMAX60％★残業ほぼナシ,【リモート案件多数】 ★69％が毎年昇給 ★MAX60％のインセンティブ賞与 ★UIターン歓迎(上…,【月給35万円~】＋インセンティブ賞与(月~20万/年~240万)・諸手当
株式会社インビリティー | 【自社内開発ゲームアプリなど】中途入社多数/平均残業月20H以下,【 名古屋、東京、大阪のいずれかのエリアにて勤務 】 ＼ 好きな場所でスタート！★転勤なし★U・I…,◆月給20万円〜50万円＋ 手当(残業手当全額、交通費全額)＋ 賞与年2回
フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給25万円〜
フォーザウィン株式会社 | 経験ゼロでも志望動機がなくても、しっかり育てる会社です！,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給20万円〜25万円
株式会社ラクスパートナーズ | 上場企業グループ/9割が未経験スタート/年休120日以上/残業月10h,【転勤なし／UIターン歓迎／駅近オフィス】 ≪本社・ラーニングセンター≫ または ≪東京23区を中…,■月給22万円〜24万円
フォーザウィン株式会社 | 経験ゼロでも志望動機がなくても、しっかり育てる会社です！,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給20万円〜25万円
株式会社こども総合研究所 | 教育×IT(AI・ビッグデータ)/年休125日/残業ほぼゼロ/面接1回,【転勤なし・自社内開発プロジェクトです】 ■東京都港区南青山6丁目8-6 テロワール南青山501…,月給：25万円〜
テー・ピー・エスサービス株式会社 | ≪研修2か月≫ 社員定着率93%/Web面接対応可,東京都、神奈川、埼玉、千葉、名古屋、大阪、京都、兵庫、福岡のいずれかでの勤務となります ※あなたの…,【東京本社（プロジェクト先：東京・神奈川・埼玉・千葉）】
フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給30万円〜
株式会社SHIFT | ◆東証一部上場◆毎年約150％の売上高成長率を継続中◆,【東京本社】 東京都港区麻布台2-4-5 メソニック39MTビル ★本人の意志に沿わない転居を伴う…,"月給:28万3,334円〜33万3,334円"
株式会社ツリーベル | 【33年間黒字経営】年休123日/残業平均月8.3h/半分が自社内開発,【U・I・Ｊターン歓迎／転勤なし／プロジェクトの半数が自社内開発】 当社各拠点 もしくは首都圏、関…,★経験者であれば、月給35〜60万円！前給ももちろん考慮！
株式会社FunClock | ◎20代前半が多く活躍中！◎完全週休2日&残業平均4hで働きやすい,【転勤なし！遠方からのご応募も歓迎！】 ◆本社(六本木)または東京・神奈川・千葉・埼玉の各プロジェ…,月給18万円〜80万円+資格手当(1種類につき月1万円以上)
株式会社SHIFT | 【東証一部上場】10期連続150％の売上高成長率を継続中！,東京・大阪の各拠点 ※本人の意志に沿わない転居を伴う転勤はなし ★全拠点最寄駅徒歩5分以内 ★U・…,"月給:33万3,334円~49万5,834円"
フォーザウィン株式会社 | 上流工程から携わる/残業ほぼなし/年休125日/面接1回,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給30万円〜
グルーコードシステムズ株式会社 | ★コロナ禍でも積極採用 ★内定までWeb面接可 ★年間140日休みOK,※転勤はありません※U・Iターン歓迎 【東京本社】東京都渋谷区渋谷3-10-19　渋谷MJ-2ビル…,月給30万円〜
株式会社アライブ．ｃｏｍ | 入社祝金10万円★年休130日★開発経験3年以上の方は全員面接!,★転勤なし ★テレワークOK 【本社】 東京都港区芝大門2-9-8　シャンデールビル4F 【プロジ…,月給30万円〜
株式会社ライズイノベーター | *年休134日*土日祝休み*面接1回*開発経験1年以上の方は全員面接,【転勤なし／U・Iターン歓迎！】 本社／東京都港区元赤坂1-2-7 赤坂Kタワー4階 ★本社または…,月給30万円以上＋残業代全額支給＋賞与年2回
株式会社テクトン | WEB面接可／年間休日125日／土日祝休み／残業少なめ,＜転居を伴う転勤はありません＞ ■本社／東京都新宿区新宿6-29-8 新宿福智ビル5F・6F ■関…,■月給30万円〜70万円
株式会社野村総合研究所 | （NRI） 東証一部上場★海外研修など豊富な研修制度あり,【転勤なし／U・Iターン歓迎】札幌ソリューション開発部に配属します。 《札幌ソリューション開発部》…,"修士了／月給241,500円（2018年4月実績）"
日鉄ソリューションズ株式会社 | 東証一部上場・[旧]新日鉄住金ソリューションズ株式会社,●本社（東京都港区）および都内の常駐先 ★受動喫煙防止のための取り組み★ 喫煙専用室を設置していま…,"月給270,000円以上（諸手当を除く）"
株式会社ウィルオブ・ワーク | 東証一部上場グループ企業◆4年連続で健康経営優良法人に認定,《転勤なし！リモートワーク、在宅勤務もあり！》本社もしくは各プロジェクト先（1都3県） ※ご希望は…,"月給22万2,500円以上〜23万円＋賞与年2回"
株式会社c.paradiso | 【残業は月平均0～20時間／年間休日126日／産休・育休あり】,本社（日本橋）もしくは東京23区内クライアント先 ※ご本人の希望等を考慮して決定いたします。 《本…,月給23万円以上
アルユーアイ株式会社 | ★給与UP保証★完全週休2日(土日)★年休126日★残業10時間以内,《★首都圏（神奈川、千葉、埼玉）のプロジェクトで積極採用！》 《★希望勤務地を考慮》 《★U・Iタ…,【インフラエンジニア経験者】
パーソルエクセルHRパートナーズ株式会社 | 技術総合職の募集です ※WEB面接OK,【希望を考慮し配属先を決定します】 転居を伴う転勤は、原則推奨していません。 U・Iターン歓迎 *…,"月給234,500円〜395,000円"
株式会社イシダ | はかりしれない技術を、世界へ。1893年創業の専門メーカー,【京都・東京にて募集】 ◆京都本社 京都府京都市左京区聖護院山王町44 《最寄り駅》 京阪線 神宮…,"◆月給20万7,000円〜（一律手当含む）"
株式会社ウイングプラス | 【エンジニアの幸せを守る会社】◇賞与年3回◇面接1回（WEB可）,首都圏の各プロジェクト先【東京・神奈川・埼玉・千葉】 ★転勤なし ★U・Iターン歓迎 【プロジェク…,月給:25万円〜60万円＋諸手当（残業代100％支給など）＋賞与年3回＋決算賞与（業績による）
"SGビジネス株式会社 | 【200％売上UPの成長企業】★在宅手当月3,000円★残業月平均10h",本社（横浜）または首都圏（東京・神奈川・千葉・埼玉）のプロジェクト先 ※勤務地は希望を考慮して決定…,月給:25万円〜45万円 ＋ 賞与年2回
