会社名,勤務地,給与
ヒューマンリレーションネクスト株式会社 | ★＜年休128日以上/土日休み/残業月10h未満＞働きやすい環境★,《転居を伴う転勤はありません！》 ■本社：東京都千代田区内神田3-16-9 松浦ビル2F ＜アクセ…,月給28万円以上（固定残業代含む）＋ 賞与（年2回）
株式会社ISS | ★設立以来12期連続黒字＆無借金経営★リモート勤務中心,★リモートワーク実施中 ◆本社（社内開発／東京都品川区西五反田）もしくは、東京23区・神奈川県（横…,月給25万円〜50万円+各種手当+賞与年2回
TMES株式会社 | 【東証一部上場グループ会社】◎年休122日◎30代前半が活躍中！,《★在宅勤務・テレワークあり（週1回）★》 転勤なし 【東京本社】 ▼住所 東京都港区芝浦4-13…,◆月給25万円〜36万円＋賞与2回＋残業手当（発生した分は全額支給）
アイコムシステック株式会社 | 東証1部企業グループ★残業月15h以下★年末年始に最大16連休OK,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上
マックシステム株式会社 | 年間休日123日以上／賞与年2回＋決算賞与／受託開発ほか案件多数,本社およびプロジェクト先 ※プロジェクト先は23区内になります ■本社／東京都豊島区南大塚3-32…,■月給30万円〜
株式会社エスアイイー | スクール運営16年の研修★引越サポート有！先輩も上京し活躍中,首都圏のプロジェクト先 （東京23区内、三鷹、町田、西東京、武蔵野市、府中市、調布市、横浜、川崎、…,"月給23万2,000円以上（固定残業代含む）"
株式会社 羽田情報 | ★完週休2日※土日★年休133日★23区・神奈川勤務★残業10～15h,【現在はリモート勤務中心です】 ◆当社開発室（大田区）および東京23区のプロジェクト先。 ※環境設…,【開発経験2年以上の方】
株式会社 羽田情報 | ★年休133日★東京23区で腰を据えて仕事★残業10～15h★面接1回,◆東京23区のプロジェクト先。 ※環境設定やレクチャーともありますので、少なくとも入社後1週間程度…,◆ネットワーク設計・構築の実務経験が3年以上ある方
株式会社ルイーダアカデミー | ◎リモートワーク実施中◎完全週休2日（土・日）◎経験浅OK,本社または各プロジェクト先（東京都23区内のみ） ※県外転勤なし ※8割がリモート案件 ※希望の案…,月給：23万円〜50万円
アイピーエス株式会社 | 【SalesforceやAWSを学べる研修充実／大手と直取引】★土日祝休,東京、及び首都圏のクライアント先 ※希望を考慮した上、決定します。 ※転勤はありません。 【本社】…,月給23万円〜70万円
株式会社ミックウェア | 大手自動車メーカーと直取引！組込み/Web系どちらも歓迎！,【転勤なし！】 ■本社神戸・品川・名古屋・博多・新横浜・乃木坂・札幌いずれかでの勤務 ※希望勤務地…,マネーワーク職／実力に応じた収入が可能！ 
ジャパニアス株式会社 | 【創立22年黒字×AI】◆残業月平均20H◆テレワーク◆土日祝休,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回
ジャパニアス株式会社 | 【AIに強み】◇日本ディープラーニング協会加盟◇残業月平均20H,品川開発センターまたは各プロジェクト先 ＊転居を伴う転勤なし ＊U／Iターン歓迎 【品川開発センタ…,月給:32万円〜60万円＋各種手当（残業代100％支給など）＋賞与年2回
株式会社YAZ | 大手直取引★福利厚生充実！テレワーク環境整備手当、退職金etc.,【WEB面接OK！／ほとんどの社員がリモート勤務！】 ◆渋谷本社・札幌支社・名古屋支社で募集！ ▼…,月給28万円以上 ＋ 各種手当 ＋ 賞与年2回
株式会社デジタルビジョン  | ★遠方からの応募OK(引っ越し費用補助有）★自社内開発あり,【会社都合の一方的な転勤なし／希望の勤務エリア確約♪】 ●引っ越し費用補助あり ●UIターン歓迎…,月給24万円以上＋手当(残業手当/交通費全額/家族手当等)＋賞与年2回
株式会社ブリッジワールドコンサルティング | Outsystems認定資格保有者在籍！業界注目のハイスキル集団,本社もしくはプロジェクト先に常駐になります。 ＜本社＞ 東京都新宿区西新宿　7丁目５番11号岡山ビ…,年俸制500万円以上
ジャパニアス株式会社 | 【創立22年黒字×AIに強み】◆転勤なし◆土日祝休◆DX推進中,【自社内または全国のプロジェクト先】 ＊転居を伴う転勤なし ＊U／Iターン歓迎 ＊全国で面接実施…,月給:28万円以上＋各種手当（残業代100％支給など）＋賞与年2回
株式会社アールピーシー | ★年休120日超★土日祝休み★残業少なめ★退職金有★在宅もあり,【転勤なし／U・Iターン歓迎】 ★渋谷駅から徒歩3分の本社★ 【本社】 東京都渋谷区渋谷2-20-…,月給21万円〜40万円＋各種手当
株式会社グリプス | 前給与保証／年収100万以上UP！充実のインセ制度＆リモートあり,◆本社、または東京都23区内のプロジェクト先 ※転勤はありません ※あなたの希望を考慮して配属先を…,◆年俸制480万円以上
株式会社ビーネックスソリューションズ | #東証一部上場グループ#年休最大125日#残業月平均14h#賞与年2回,【首都圏・関西圏・東海圏の各プロジェクト先】 ※U／Iターン歓迎 ※勤務地は希望を最大限考慮します…,"◆月給：20万5,000円以上+賞与年2回+各種手当（残業手当1分単位 100％支給など）"
株式会社KENテクノロジー | 《東証一部上場グループ》★定着率95％超/完全週休2日/残業月15h,★転勤なし ★U/Iターン歓迎 ★東京/大阪で募集！ ★勤務地は相談の上、希望を最大限考慮します。…,"月給22万2,000円〜50万円＋各種手当＋賞与"
株式会社日本ビジネスデータープロセシングセンター | ★コロナに揺るがない安定経営／ワークライフバランス◎,★転居をともなう転勤なし。 ☆愛知の当社拠点もしくは中部エリア(愛知県、岐阜県、三重県)・静岡県の…,◇月給35万円以上＋諸手当
株式会社ノベルワークス | 完全週休2日制（土日祝休み）／ 大阪府緊急雇用対策に賛同,「フルリモート勤務」「出社」選択可能！ 詳しくは、面接にてお問い合わせください。 本社：大阪府大阪…,月給27万〜54万円+諸手当+賞与
デジタルクルーズ株式会社 | フレックス＆基本リモート勤務でのびのび活躍！★20代30代活躍中,基本リモートワークです★本社は九段下から徒歩5分！ 【本社】 東京都千代田区九段北1-14-17…,年俸制600万円〜900万円＋決算賞与
株式会社IIJプロテック | 【景気に左右されず黒字成長中】★賞与年3回 ★WEB面接OK,東京23区を中心に、23区外・神奈川県と千葉県の一部エリアから、あなたの希望・適性に合わせて配属し…,◆未経験者：月給19万円〜＋残業代全額支給
アイコムシステック株式会社 | 東証1部企業グループ★残業月15h以下★年末年始に最大16連休OK,【自習室・ライブラリーなど環境◎】 ★転勤なし ★NEC・NTTデータグループなど大手企業が中心…,【月給】36万円以上
株式会社システナ | 東証一部上場・健康経営優良法人・過去5年で売上高1.7倍に成長,【転勤なし・UIターン歓迎】東京本社、神奈川・北海道・愛知・大阪・兵庫・広島・福岡の各拠点および各…,■【年俸500万円〜】+業績賞与年1回
株式会社システナ | 東証一部上場企業・健康経営優良法人・経験者採用を行います！,【転勤なし・UIターン歓迎】東京本社、神奈川・北海道・愛知・大阪・兵庫・広島・福岡の各拠点および各…,■【月給25万円〜】＋残業代全額支給＋賞与年2回
株式会社日本ビジネスデータープロセシングセンター | ★官公庁案件多数／年間休日124日／残業月平均15時間以下,★転居をともなう転勤なし。 ☆全国各地の当社拠点（東京／神奈川／愛知／大阪／兵庫／福岡）の いずれ…,◇月給30万円以上＋諸手当
株式会社コミットグロース | 【自社サービス実績あり】◆土日祝休み◆年間休日120日以上,＊---アクセス抜群！「大手町駅」より徒歩4分---＊ ☆100％自社内勤務（客先常駐はありません…,【未経験者】
株式会社コナミデジタルエンタテインメント | KONAMI／自社開発ならではの魅力あるゲームコンテンツを世界へ,東京本社・大阪スタジオ ●東京本社／東京都中央区銀座1-11-1 【アクセス】 東京メトロ有楽町線…,月給24万円以上
アットホーム株式会社 | ◆創業50年以上の安定企業◆業界のリーディングカンパニー,東京都千代田区内幸町1-3-2 内幸町東急ビル 【交通アクセス】 都営三田線「内幸町駅」徒歩2分…,月給21万円〜
株式会社システムズアプローチ | ★定着率90％★設立以来ずっと社員ファーストを貫いています！,東京都内の各プロジェクト先 ※希望を考慮の上、決定いたします ※会社都合による転勤はありません 【…,月給25万円以上＋賞与年2回＋各種手当
住友重機械工業株式会社 | ＜東証1部上場＞,【東京・千葉・愛媛いずれかにて勤務】 ※初任地はご希望に応じお選びいただけます ・東京都品川区大崎…,月給22万円以上
株式会社manebi  | 業界TOPクラス！EdTech領域で成長中のベンチャー企業！,★原則リモートワーク！ ★「神保町駅」「九段下駅」「水道橋駅」より好アクセス！ ★転勤なし ≪住所…,月給41万円〜
株式会社 ＨＡＬ | ★WEB面談応相談 ★全国応募OK ★リモートワーク可能,《リモートワーク可／会社都合による転勤は一切なし！》 ☆本人のご希望・居住地を考慮し、案件をご案内…,≪関東・関西・東海エリア≫
ソニーネットワークコミュニケーションズ株式会社,東京都品川区東品川4-12-3　品川シーサイド TSタワー 【アクセス】 『品川シーサイド駅』出口…,月給23万9000円以上
プロンプト・Ｋ株式会社 | 【 東証一部上場 ケイアイスター不動産グループ 】★Web面接OK,◇転勤なし！ ◇UIターン歓迎！ 【 東京オフィス 】 東京都品川区西五反田1丁目11番1号 アイ…,【経験者】月給24万円〜36万円 + 諸手当
株式会社日本総合研究所 | SMBCグループ,【転勤なし】 東京都品川区東五反田2-18-1　大崎フォレストビルディング または 東京都品川区北…,"月給28万4,000円〜"
株式会社日本総合研究所 | SMBCグループ,【転勤なし】 東京都品川区東五反田2-18-1　大崎フォレストビルディング または 東京都品川区北…,"月給28万4,000円〜"
株式会社日本総合研究所 | SMBCグループ,【転勤なし】 東京都品川区東五反田2-18-1　大崎フォレストビルディング または 東京都品川区北…,"月給28万4,000円〜"
ソニーグループ株式会社 | 旧社名：ソニー株式会社,東京都港区港南1-7-1,"◆修士了 月給265,000円以上"
株式会社メテオライズ | ★7期連続黒字収支 ★完全週休2日（土日祝）・育休実績あり,★転勤なし 本社：東京都千代田区外神田6-14-3 VORT末広町2 2F ＜アクセス＞ 東京メト…,年俸324万円(月額27万円)〜
株式会社セブン銀行 | 東証一部上場★「セブン＆アイグループ」の新しい業態の銀行,—★ 東京駅・大手町駅から直結！通勤しやすい好立地 ★— 本社／東京都千代田区丸の内1-6-1,"月給21万7,000円以上"
ランスタッド株式会社 |  ★完全週休2日制★年間休日121日以上★残業月10時間,《転居を伴う転勤なし♪希望を最大限考慮します》関東、東海、関西、九州エリアの各プロジェクトへ配属…, ■首都圏、北関東、東海、関西エリア
株式会社セブン銀行 | 東証一部上場★「セブン＆アイグループ」の新しい業態の銀行,—★ 東京駅・大手町駅から直結！通勤しやすい好立地 ★— 本社／東京都千代田区丸の内1-6-1,"月給21万7,000円以上"
株式会社オンテック | #大阪府緊急雇用対策に賛同#年休119日+指定有給5日=124日以上,【本社】大阪府吹田市垂水町3-20-27 ※御堂筋線「江坂」駅１番出口より徒歩約12分 ※阪急千里…,◆月給25万円〜40万円+各種手当
株式会社オンテック | #大阪府緊急雇用対策に賛同#年休119日+指定有給5日=124日以上,【本社】大阪府吹田市垂水町3-20-27 ※御堂筋線「江坂」駅１番出口より徒歩約12分 ※阪急千里…,◆月給23万円〜38万円+各種手当
株式会社Solution UIT | ＜2020年4月設立・気鋭の新会社＞★土日祝休み・年間休日125日,★転勤なし★「飯田橋駅」徒歩5分 東京都千代田区富士見1丁目7-6 飯田橋ニュー東和ビル6階 ＜交…,月給：23万〜35万円
株式会社ディンプス | ソードアート・オンライン フェイタル・バレット等制作,【転勤なし】大阪本社もしくは東京オフィス 【大阪本社】 大阪府豊中市新千里西町 1丁目1番8号 第…,■年俸制：400万円〜700万円
インプレイス株式会社 | 《Palo Alto Networks社 公式パートナー》設立から5期連続成長中,《原則本社勤務》 ★複数駅利用可でアクセス抜群！ ★転勤なし！ ★引っ越し費用補助あり！ 【本社】…,月給:30万円以上＋各種手当＋賞与（業績に応じて）
ランスタッド株式会社 | ★完全週休2日制★年間休日121日★残業月10時間,《転居を伴う転勤なし♪希望を最大限考慮します》関東、東海、関西、九州エリアの各プロジェクトへ配属…, ■首都圏、北関東、東海、関西エリア
株式会社トラストコーポレーション | IT・Webエンジニア/月給20万～/経験者月給30万～,【転勤なし / リモート勤務OK（案件による）】 東京都内または首都圏（千葉・神奈川・埼玉）の各プ…,■未経験者：月給20万円〜
株式会社Cygames | サイゲームス【サイバーエージェントグループ】,本社(東京都渋谷区南平台町16番17号 住友不動産渋谷ガーデンタワー) 【交通アクセス】 半蔵門線…,年俸　360万円〜960万円
株式会社スクウェア・エニックス,本社／東京都新宿区新宿6-27-30 新宿イーストサイドスクエア 【交通アクセス】 東京メトロ副都…,月給40万円以上
チームラボ株式会社 | 国内外で多彩なプロジェクトを実施！ウルトラテクノロジスト集団,＜小川町・新御茶ノ水・淡路町駅より徒歩1分で通勤便利！＞ 【本社】 東京都千代田区神田小川町2-1…,月給23万円以上
株式会社野村総合研究所 | （NRI）【東証一部上場】,東京・神奈川・大阪・中部のいずれかの拠点に配属します。 ※入社時の配属拠点は希望を考慮します。 【…,"博士了／月給299,500円"
ジーエムラボ株式会社 | 【自社ソフトが全国で実績多数！】地球・人類の未来を考える企業,札幌本社(札幌市)または大阪支店(大阪市北区)のいずれかにて勤務 ※原則転勤なし（希望転勤可能）…,"月給：170,000円〜600,000円"
レック・テクノロジー・コンサルティング株式会社 | 【米専門誌でも取り上げられる実力派】残業15h／年休120日以上,【転居を伴う転勤なし／ほぼフルリモート勤務】 ※勤務地は希望を考慮します！ 【勤務地】 ◆自社作業…,月給26万円以上＋諸手当＋賞与年2回
株式会社デジタリアス | ◎土日祝休み ◎残業ほぼなし ◎入社祝金15万円支給！◎服装自由,【転勤なし／遠方からのご応募歓迎！(引越し費用一部サポート)】 ※本社(渋谷)もしくはお客様先(東…,月給20万円〜43万円＋残業手当＋通勤交通費(全額)＋その他手当
株式会社relation | #自社内での受託案件拡大！#当社で働く魅力、ぜひ見てください！,【自社内での開発となります／東京・横浜・大阪・神戸で募集！】 ※希望勤務地は考慮します。 ※転居を…,◆月給23万円〜 + 諸手当 + 賞与(年2回)
株式会社野村総合研究所 | （NRI）【東証一部上場】,東京・神奈川・大阪・中部のいずれかの拠点に配属します。 ※入社時の配属拠点は希望を考慮します。 【…,"博士了／月給299,500円"
株式会社クロスパワー | Amazonに選ばれる技術力◆完全週休2日(土・日)◆20～30代活躍中,各プロジェクト先での勤務になります。 【本社】 東京都千代田区神田佐久間町1-9 ＜交通アクセス＞…,＜監視の経験がある方＞
株式会社サイバー・コミュニケーションズ | 【cyber communications inc.】＜電通グループ＞,東京本社（東京都中央区築地1-13-1「築地松竹ビル」） ※株式会社DataCurrentに出向…,"月給300,000円〜400,000円"
株式会社トゥルーエンジニアリングサービス | ◆残業代1分単位で支給◆20代活躍中◆面接1回◆クリアな評価基準,【東京都内又は近県のプロジェクト先】または【本社】勤務 ※転居を伴う転勤はありません。 ※勤務地は…,【未経験者】
富士ソフト株式会社 | 東証一部上場 ◆完全週休2日！柔軟な働き方もOK！,【U・Iターン歓迎！】 首都圏、札幌、東海、中部、関西、中国、九州、沖縄地区の全国各地の当社事業所…,"月給231,000円〜350,000円"
伊藤忠テクノソリューションズ株式会社 |  (CTC),東京、愛知、大阪,"月給230,000円以上"
株式会社一休 | 高級ホテル・旅館、レストランの予約サイト『一休.com』を展開,【「赤坂見附駅」徒歩5分のキレイなオフィスで活躍】 ※転勤ナシ ◆本社 東京都港区赤坂3-3-3…,【月給】29万4447円〜71万9065円
株式会社 NTTデータ,■豊洲（本社） 東京都江東区豊洲3-3-3 豊洲センタービル ※プロジェクトにより異なります(首都…,"■月給21万6,260円以上"
株式会社北見コンピューター・ビジネス | 【大手企業案件多数！】★年休120日以上／残業平均10h以下,【北見本社・札幌支店・東京営業所にて同時募集！】 ＜北見本社＞ 北海道北見市北2条西3丁目6番地…,"月給 185,500円〜314,400円 + 各種手当"
伊藤忠テクノソリューションズ株式会社 | (CTC),東京、愛知、大阪、札幌,"月給230,000円以上"
TDK株式会社 | 連結売上高1兆円超の東証1部上場企業◆5期連続過去最高売上高,●千葉県・大阪府のいずれかに配属。 テクニカルセンター／千葉県市川市東大和田2-15-7 大阪営業…,"■月給240,000円〜600,000円"
GMOインターネット株式会社 | 【東証一部上場】★無料のカフェ＆バー・社内託児所など完備,【転勤なし】★JR「小倉駅」徒歩3分 ＜北九州オフィス＞ 福岡県北九州市小倉北区米町1丁目1-21…,【月給】26万円〜50万円
富士ソフト株式会社 | 東証一部上場 ◆完全週休2日！柔軟な働き方もOK！,【U・Iターン歓迎！】 首都圏、札幌、東海、中部、関西、中国、九州地区の全国各地の当社事業所 ↓具…,"月給23万1,000円以上"
株式会社 NTTデータ,■豊洲（本社） 東京都江東区豊洲3-3-3 豊洲センタービル,"■月給21万6,260円以上"
富士ソフト株式会社 | 東証一部上場 ◆完全週休2日！柔軟な働き方もOK！,【U・Iターン歓迎！】 首都圏、札幌、東海、中部、関西、中国、九州地区の全国各地の当社事業所 ↓具…,"月給231,000円〜350,000円"
株式会社ProVision | ＊東証一部上場のシステナグループ＊年間休日126日＊残業20h以下,神奈川県横浜市西区みなとみらい2-2-1 横浜ランドマークタワー40F,＜一般職＞
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,ベトナム ホーチミン,"月給：2,500USD〜3,500USD　(1USD＝109.31円/2021年3月26日現在) "
"株式会社ヒップ | 【JASDAQ上場】トヨタ自動車,ソニー等大手と取引実績/転勤なし",本社／神奈川県横浜市西区楠町8-8,"月給314,000円〜418,400円"
日本システムハウス株式会社 | ★定着率90％★完全週休2日★土日祝休み★20～30代活躍中★,東京支社(東京都港区)または本社(茨城県日立市)、東京都・神奈川・千葉・茨城のプロジェクト先 【東…,月給25万〜45万円＋各種手当
株式会社ディスコ  | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,東京本社／東京都大田区大森北 2丁目13番11号 ※原則転勤はありません,月給35万円〜50万円
株式会社アイシーイノベーション | ★土日祝休み ★特別手当年3回 ★残業平均月10h,★転居を伴う転勤なし 東京都内（主に23区内）のプロジェクト先に勤務していただきます。 勤務地の希…,"月給250,000円〜390,000円"
株式会社創源 | 創業30年の独立系SIer★「健康経営優良法人」認定/土日祝休,★転勤なし！ ★リモートも対応中 ★馬喰町・秋葉原など5駅からアクセス可能な好立地！ 【神田営業所…,■課長（PM候補）：月給32万円以上
株式会社ネクストヴィジョン | ◆大手勤務のチャンス有◆豊富な案件あり◆経験を活かして働ける,【本社】東京都新宿区西新宿7-6-2　宇津宮ビル3F 【プロジェクト先】東京23区、神奈川県、千葉…,【経験者】
AppTime株式会社 | 大阪府緊急雇用対策に賛同｜TVやSNSで話題のサービスを多数開発,本社(大阪)または近畿圏内のプロジェクト先 ※勤務先は希望を考慮します 【本社】 大阪府大阪市淀川…,月給28万円〜40万円＋賞与年2回（業績連動/昨年度実績4ヵ月分）
"i-enter Asia Co., Ltd.  | 日系企業向けラボ型開発、オフショア開発事業を展開！","ベトナム　ハノイ 9th Floor, Indochina Plaza Hanoi Tower,…","月給：2,500USD〜3,500USD　(1USD＝109.31円/2021年3月26日現在) "
株式会社ロジック | 12期連続増収増益！利益は社員に還元 ★未経験スタート者多数,官公庁や一部上場企業など、東京都・神奈川県横浜市の各プロジェクト先 ※転勤なし 【本社】 東京都千…,"月給220,000円〜360,000円"
株式会社システムフリージア | ★秋葉原駅前！バーカウンターのある新オフィス★残業月平均4.7h,秋葉原本社または新宿、六本木、品川、新橋、大手町、飯田橋、豊洲 ほか （都内近郊を中心とした首都圏…,月給：25万円以上
株式会社ウイングノア | 【新規設立の新鋭IT企業】マイナビ初掲載★面接1回！面接保証有,【各拠点で積極採用】 各拠点で採用予定です。また、拠点に近い都道府県エリアでの就業も可能です。勤務…,月給30万円以上＋各種手当（住宅手当、家賃補助手当、通勤手当、家族手当、時間外・休日労働手当、資格手…
株式会社創源 | 官公庁案件も手掛ける独立系SIer★残業月20H／土日祝休み,★転勤なし！ ★リモートワーク（在宅ワーク）＆フレックス勤務も可能！ ★馬喰町駅など５駅使える好立…,月給24万〜30万円以上＋残業代全額支給
フォーザウィン株式会社 | 納得の環境と待遇を/上流工程から携わる/残業ほぼなし/年休125日,【転勤なし／希望を考慮】東京本社・渋谷支店・大阪支店・名古屋支店・群馬支店、または各プロジェクト先…,月給28万円〜
株式会社SVC | ゲーム攻略アプリなど、多数のエンタメ系コンテンツを手掛ける！,【転勤なし・社内開発・リモートのみ】 東京都品川区西五反田7-13-6 SDI五反田ビル7階 ※「…,月給24万円以上
ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【紀尾井町オフィス】 東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町 【大阪グランフロン…,月給：28万円〜57万円
株式会社ブレイン・ゲート | 転勤なし／年間休日125日／原則定時退社／福利厚生が充実,福岡県福岡市中央区舞鶴1-5-6 SKビル 6F 【アクセス】 地下鉄空港線『赤坂駅』より徒歩10…,月給27万円〜 ＋ 諸手当
株式会社キーワードジャパン | 【健康優良企業認定】創業から30年間、無借金の黒字経営継続中,東京都内及び近郊(神奈川・埼玉・千葉) ※勤務先に準ずる。プロジェクトにより異なります。 [埼玉県…,月給30万円〜+ 賞与年2回
アマゾン ジャパン合同会社 | 世界的グローバル企業／年間休日120日以上／福利厚生充実,東京・埼玉・千葉・神奈川・京都・大阪・兵庫の各拠点（希望考慮） ・川崎FC（神奈川県川崎市） ・小…,年俸400万円〜850万円
株式会社エクストリーム  | ゲーム会社などエンターテイメント系企業多数！,本社/東京都豊島区西池袋1丁目11-1メトロポリタンプラザビル21Ｆ,月給20万円〜37万円 + 賞与年2回
アビームコンサルティング株式会社,東京　※プロジェクトによりその他全国、海外あり,"月給340,300円＋賞与年2回"
日本獅龍株式会社 | ★リモートワーク率8割 ★WEB面接可能 ★時差出勤OK ★完休2日,東京都内のプロジェクト先にて勤務いただきます。 ☆基本的に転勤はございません ☆リモートワーク実施…,月給35万円〜50万円
ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,【東京本社（ワイジェイカード株式会社）】 東京都千代田区紀尾井町1-3 東京ガーデンテラス紀尾井町…,月給：28万円〜57万円
株式会社メディエイド | 『ヘルスケア×DX』で日本のヘルスケアを変えるベンチャー企業！,★転勤なし ★リモートワーク可！ ★神田駅徒歩すぐ！ 【本社】 東京都千代田区内神田3-2-1 喜…,年俸制500万円〜750万円
株式会社ユニゾンベックス | 【自社内開発】プロ野球球団・有名SNSなど案件豊富★残業1日1h程,【転勤なし／「恵比寿駅」より徒歩3分／U・Iターンも歓迎！】 ◆本社／東京都渋谷区恵比寿西1-9-…,月給28万円以上
TM人事労務コンサルティング株式会社 | 広島オフィスが開設！オープニングメンバーとして受け入れます！,〒730-0041 広島県広島市中区小町3-25　三共広島ビル４階,"◆月給: 230,000円〜350,000円"
株式会社アパートナー | 全国19拠点「アパマンショップ」「アパートナー」店舗を展開,【本社】 東京都目黒区上目黒1-16-11 ※コロナウイルスによる自粛期間中は リモートワークが中…,月給30万円以上＋賞与＋各種手当
株式会社ARS | ★完全週休2日制 × 年休120日以上／残業月20H！／服装自由,≪ 福岡・熊本・鹿児島・東京・沖縄 ≫ いずれか希望の勤務地へ配属します ・福岡／ 福岡県福岡市博…,月給18万円〜35万円 ＋ 残業代
サン・エム・システム株式会社 | 《前年度より売上115％アップ！》完全土日祝休み／年間休日127日,自社オフィス(大阪支店)orプロジェクト先(大阪・兵庫・京都) ★案件によって完全テレワークもあり…,月給25万円〜 + 諸手当 + 賞与（年2回）
株式会社GoingN | ◆フルリモートOK◆月給50万円以上も可◆年齢不問◆WEB面談実施,【東京本社・大阪営業所・都内および大阪府内のクライアント先】 ※希望を考慮し決定します。 ※転勤は…,月給:29万円〜50万円＋各種手当＋業績賞与
日本システム技術株式会社 | 【東証一部上場×独立系SIer】★3/20(土)転職フェア ONLINE出展,【転勤なし】 ★健康経営優良法人2021認定 ★残業月15h以下 ★リモートワーク有 ★品川駅直結…,【月給25.2万円以上】
株式会社ビースカイネット | ◆自社開発のマーケティングシステムあり◆フレックス制,東京都内23区の各プロジェクト先、または本社での勤務 ◎転居を伴う転勤なし 【本社】 東京都千代田…,【年俸制】420万円〜700万円
株式会社フォーサイト | 【コロナ禍の需要増加で2020年売上げ昨対比130％以上達成】,【転勤なし！本郷三丁目などから近く通勤ラクラク！】 東京都文京区本郷6-16-2 フォーサイトビル…,月給24.5万円〜40万円＋諸手当＋賞与年2回
株式会社Def tribe | 自社内開発、クライアントからの直請プロジェクトが豊富,本社（大阪市中央区）または、大阪・京都・兵庫にあるプロジェクト先に配属となります。 希望を最大限に…,年俸400万円〜700万円+各種手当
株式会社アットマーク・ソリューション | ただのエンジニアではない、ITコンサルもできる本物のエンジニア,・本社 大阪府大阪市中央区安堂寺町2-1-10　ベルテ谷町2F 《アクセス》 Osaka Metr…,月給30万円〜 + 賞与2回
スプリングエイトサービス株式会社 | 正社員採用／最先端の研究施設で、未来のための研究を支える！,基本的に兵庫県の【SPring-8】【SACLA】での勤務となります。 ☆転勤はありません ☆マイ…,"【院卒】月給／20万9,800円以上"
株式会社クオンテックス | 大阪府緊急雇用対策に賛同 ／ 19～50代の採用実績／リモート継続,◆大阪本社・京都・神戸・名古屋・福岡・東京いずれかの各拠点、または各地域におけるプロジェクト先での…,◆月給25万円〜50万円
株式会社CRUD nop | ECサイト/動画配信/ゲーム等のWebシステムを手掛ける成長企業,本社、またはクライアント先（東京23区など） 本社／東京都新宿区西新宿3-5-3 西新宿ダイヤモン…,月給25万円〜70万円＋賞与年2回
株式会社ロビンソン | 20代の9割がITエンジニア未経験！2年目にはリーダー候補に成長！,本社／東京都世田谷区三宿1-13-1　東映三宿ビル　4階 または東京23区内のお客様先（チーム単位…,【ITエンジニア経験者（3年以上）】
株式会社バリュープランニング | 今年17期目を迎えるIT企業／多くのPMOを育成し輩出しています！,◆本社および東京23区を中心とする1都3県のプロジェクト先。 ※転居を伴う転勤はありません。 【本…,月給33万円〜50万円＋賞与年2回＋諸手当
株式会社ライズサービス | 「注目の西日本ベンチャー100」に選出／月給40万円超も目指せる,【大阪本社 または 大阪市内の各プロジェクト先】 ※転居を伴う転勤はありません ※希望を考慮した上…,◆月給30万円〜＋インセンティブ制度
"Reeraceon Vietnam Co.,ltd",ベトナム・ホーチミン,月給：2000-3500 USD
TSRソリューションズ株式会社 | 設立以来12期連続黒字経営！20～40代活躍中◎スキルUP可能★,★転居を伴う転勤なし 【本社】 東京都新宿区高田馬場三丁目23番3号 ORビル3階、4階 ⇒各線「…,リーダー：月給35万円〜60万円+各種手当
TSRソリューションズ株式会社 | 設立以来11期連続黒字経営！20～40代活躍中◎自社内開発,★転居を伴う転勤なし 【本社】 東京都新宿区高田馬場三丁目23番3号 ORビル3階、4階 ⇒各線「…,メンバー：月給25万円〜35万円+各種手当
株式会社マリノ | 《25年連続黒字経営》☆残業時間20％削減／有給取得率70％以上！,本社および東京都内・神奈川県内などのプロジェクト先 ※転居を伴う転勤はありません。 ＜本社＞ 横浜…,月給24万円〜34万円 + 賞与年2回 + 決算賞与(業績による) ＋ 諸手当
セブントゥーファイブ株式会社 | 東証一部上場「エア・ウォーターグループ」★売上昨対比300％増,★転勤なし／昨年増床移転！「東新宿駅」徒歩2分の新オフィス★ 本社／東京都新宿区大久保1-1-10…,【1】経験者
株式会社earth＆one architect | ＜新規立上げ企業！＞グループ親会社の安定した基盤あり◎,【転勤なし】自社または首都圏各地 (東京都・神奈川県・千葉県・埼玉県など)のプロジェクト先になりま…,月給25万円〜70万円＋賞与年2回
ONE DROP INVESTMENT株式会社 | 不動産のクラウドファンディング事業始動/残業基本0/土日祝休,本社／東京都港区六本木1-6-1　泉ガーデンタワー37F ※転勤はありません。 ＜アクセス＞ 東京…,月給25万円〜　　
